Country Code,CO2 per capita,GDP per capita,Energy use per capita,Electric power per capita,GNI per capita
KAZ,14.36316974,12807.26069,4434.639121,5600.208465,12090
KEN,0.310415314,1335.123148,513.4264871,166.7381869,1260
KGZ,1.646395339,1279.769783,650.401508,1941.221832,1250
KHM,0.437759998,1093.762067,416.9396606,271.4332395,1020
KIR,0.564368357,1626.893872,,,3220
KNA,4.2989449,17061.30296,,,15520
KOR,11.57034541,27811.36638,5289.275832,10496.51367,26800
KWT,25.22386443,42996.31522,8956.820315,15213.41987,49770
LAC,2.781101756,9736.740263,1226.048974,1980.708532,9432.997021
LAO,0.297200884,2017.587781,,,1840
LBN,4.295732552,8660.036928,1337.366032,2892.770465,8370
LBR,0.212967664,716.0529087,,,630
LBY,9.186845393,6631.529047,2880.14393,1857.156581,7800
LCA,2.307191321,8596.351698,,,7930
LCN,3.063307099,10278.24089,1341.945236,2128.816995,9949.384006
LDC,0.314163047,1039.923181,363.323385,204.709023,990.9635243
LIC,0.320595161,837.9750881,,,806.7907028
LIE,1.185229079,179308.0756,,,
LKA,0.885247473,3819.25353,515.5110213,531.0905766,3640
LMC,1.474025508,2063.064337,646.2847959,767.1663193,2060.698883
LMY,3.476109882,4658.593664,1324.809892,1922.124818,4615.614668
LSO,1.150111032,1218.466106,,,1380
LTE,6.744762333,8807.920491,2307.07071,3703.531029,8675.42374
LTU,4.378090123,16545.12267,2387.275194,3821.14517,
LUX,17.36212137,118823.6484,6861.106667,13914.67845,76470
LVA,3.498192882,15716.36907,2176.843306,3507.404521,15270
MAC,2.17984276,94004.38983,,,74390
MAF,,,,,
MAR,1.744379974,3160.250851,553.1039584,901.1284488,3050
MCO,,185152.5272,,,
MDA,1.386829142,2244.755308,928.3347725,1386.234439,2560
MDG,0.130421321,452.4631926,,,440
MDV,3.26955985,9056.65344,,,7800
MEA,6.159356049,8477.612523,2337.881075,2875.265333,8673.24248
MEX,3.866241113,10582.41053,1513.259208,2090.175944,10180
MHL,1.941018564,3461.781164,,,4500
MIC,3.874128243,5142.301621,1395.789385,2063.743349,5097.159312
MKD,3.614938183,5469.217898,1262.556589,3496.999993,5200
MLI,0.083228663,845.720641,,,810
MLT,5.400613957,25811.878,1781.504425,4924.544019,23890
MMR,0.416600362,1260.418504,371.8689107,216.7776086,1240
MNA,3.927253364,4426.713898,1477.122391,1687.023515,4578.176264
MNE,3.55607179,7378.341022,1538.2641,4612.34139,7310
MNG,7.127326348,4181.583313,1838.239459,2017.513619,4240
MNP,,15513.69612,,,
MOZ,0.309666607,623.2867539,427.5983631,462.6202881,620
MRT,0.666822428,1326.668654,,,1350
MUS,3.353110472,10153.93822,1111.422168,2182.509156,9790
MWI,0.07476291,354.3189898,,,350
MYS,8.032991579,11183.72943,2967.541304,4596.331939,11010
NAC,16.36232406,54597.49072,7052.593507,13250.15133,55465.04934
NAM,1.583728667,5392.712421,761.6149696,1584.568822,5740
NCL,16.00593173,,,,
NER,0.111073516,429.7909578,150.7341231,51.44081546,420
NGA,0.545622113,3221.678116,763.3913679,144.4799245,2990
NIC,0.808520856,1975.464707,609.0071212,580.4791722,1890
NLD,9.920138075,52830.17423,4325.523712,6712.774758,51980
NOR,9.270945132,97199.9191,5595.654625,22999.9346,104540
NPL,0.283538526,706.2386977,412.724483,139.1436806,730
NRU,4.021851008,9872.638314,,,14730
NZL,7.686575825,44560.64037,4559.892232,9026.321041,41540
OED,9.523556491,38886.05388,4141.865384,7986.25516,39409.329
OMN,15.44316719,20469.13865,6141.773197,6553.519696,19490
OSS,7.519311831,15602.96821,,,14642.6723
PAK,0.896264105,1316.980966,484.4452184,471.0415689,1390
PAN,2.254311363,12787.3062,1079.130151,2062.763545,11030
PER,1.993485949,6492.053208,767.6895114,1307.510966,6340
PHL,1.055456846,2842.938353,476.2447245,699.2050698,3470
PLW,12.34270409,11646.68152,,,10760
PNG,0.814648807,2973.270549,,,3010
POL,7.517151585,14345.18606,2473.406883,3971.799761,13680
PRE,0.536757223,1842.740296,577.4487795,249.7469587,1736.073665
PRI,,28981.45733,,,19280
PRK,1.613596841,,474.2390847,600.285957,
PRT,4.331554028,22077.53613,2034.51263,4662.6008,21260
PRY,0.870219291,6146.664055,788.6896223,1563.505329,5840
PSE,,2960.778004,,,3180
PSS,1.064149686,3777.927219,,,3748.346185
PST,10.35677267,42946.90362,4580.393122,8897.028537,43637.75883
PYF,2.915134817,,,,
QAT,45.42323996,86852.71019,18562.66691,15309.42938,82750
ROU,3.516153691,10026.97358,1591.667659,2584.411787,9610
RUS,11.85752777,14125.90873,4942.875517,6602.657525,14660
RWA,0.074016446,706.5967098,,,710
SAS,1.461467463,1499.472711,576.1284297,707.4930149,1494.396087
SAU,19.5292718,24575.40304,6937.230677,9444.215664,25570
SDN,0.299732598,2176.898029,380.8738409,190.2208868,1830
SEN,0.608809117,1359.189351,272.0820018,223.4961633,1340
SGP,10.30633191,56957.07857,5121.804318,8844.687593,56370
SLB,0.350449345,2036.942056,,,1880
SLE,0.184925702,708.4394757,,,690
SLV,1.000644623,3595.790733,647.3096097,939.1533991,3420
SMR,,54766.51307,,,
SOM,0.045046723,485.6020611,,,
SRB,5.282521917,6200.173221,1859.428888,4271.744667,5840
SSA,0.840028002,1866.642912,682.8850822,480.3287353,1787.673501
SSD,0.129749351,1309.487381,60.72619556,39.89256412,1190
SSF,0.840453498,1867.840726,682.8850822,480.3287353,1788.744504
SST,7.384025519,13857.05752,,,13041.14938
STP,0.59433982,1824.379217,,,1680
SUR,3.634019433,9554.562288,1259.490298,3631.864041,9340
SVK,5.661581328,18629.77966,2943.18916,5137.073835,18240
SVN,6.213686845,24202.43084,3236.236045,6727.999302,23530
SWE,4.478182178,59241.60638,4966.435921,13480.14822,61040
SWZ,0.928714992,3379.896499,,,3670
SXM,19.46132413,,,,
SYC,5.418677963,14700.36313,,,13290
SYR,1.598898459,,562.5354045,949.5867592,
TCA,6.086487448,,,,
TCD,0.053777688,1025.998515,,,980
TEA,5.827867179,6370.64783,1896.023976,3079.164097,6291.405909
TEC,7.39596064,10265.95048,3053.436828,4224.315604,10431.00094
TGO,0.362696892,632.0313104,456.6742035,152.720014,630
THA,4.621860032,5953.793928,1969.633659,2539.611194,5760
TJK,0.620466725,1104.459019,335.3854506,1479.777274,1340
TKM,12.51729534,7962.365824,4893.487499,2678.806149,7200
TLA,3.032804906,10194.20621,1345.227153,2141.237888,9916.864471
TLS,0.387014002,3335.548567,,,2870
TMN,3.967544488,4444.104498,1477.122391,1687.023515,4594.647737
TON,1.143965892,4196.470593,,,4360
TSA,1.461467463,1499.472711,576.1284297,707.4930149,1494.396087
TSS,0.840453498,1867.840726,682.8850822,480.3287353,1788.744504
TTO,34.16324263,20081.52191,14446.74945,7134.034654,18370
TUN,2.587059584,4274.292832,943.6070362,1444.107399,4130
TUR,4.491479026,12127.46146,1577.827978,2854.565849,12590
TUV,1.008525853,3418.645719,,,4700
TZA,0.221347372,985.2280595,475.4269605,99.16747374,930
UGA,0.134656001,702.795104,,,660
UKR,5.020747064,3104.658296,2334.407199,3418.585024,3560
UMC,6.588135175,8624.580717,2204.168141,3516.727792,8531.036276
URY,1.973150822,16737.89827,1378.273607,3067.951126,16230
USA,16.50283724,55032.95946,6960.681985,12993.96182,55850
UZB,3.420722746,2050.448414,,1645.441629,2110
VCT,1.91134541,6654.484003,,,6750
VEN,6.025697582,15692.41288,,2657.622338,12780
VGB,6.072833581,,,,
VIR,,33573.09703,,,
VNM,1.80356575,2012.04629,,1410.914905,1860
VUT,0.594993239,3148.365103,,,3170
WLD,4.970155157,10908.98483,1920.655094,3127.479749,10967.19538
WSM,1.029788341,4187.230599,,,4050
XKX,,4054.721339,1213.283566,2804.369305,3990
YEM,0.864834535,1647.033657,,216.2588312,1440
ZAF,8.980119297,6429.02395,2695.733764,4198.401194,6750
ZMB,0.288271141,1738.088202,,707.1902175,1770
ZWE,0.779955845,1264.983826,,536.9954921,1120
